City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,sao lourenco do sul,-31.3653,-51.9783,15.01,97,100,10.27,BR,1689174644
334,polyarnyy,69.1989,33.4478,23.43,44,22,5.59,RU,1689174795
335,cooper's town,26.8667,-77.5167,29.3,75,98,2.67,BS,1689174795
336,thaba-tseka,-29.522,28.6084,8.01,35,0,1.39,LS,1689174796
337,puerto baquerizo moreno,-0.9,-89.6,26.55,83,75,6.17,EC,1689174608
338,la sarre,48.8002,-79.1996,16.99,53,6,2.85,CA,1689174796
339,pak phanang,8.3511,100.202,29.01,75,23,2.26,TH,1689174796
340,tarakan,3.3,117.6333,28.03,77,100,1.99,ID,1689174796
341,saldanha,-33.0117,17.9442,16.79,55,32,3.51,ZA,1689174796
342,fonte boa,-2.4959,-66.2662,31.5,56,14,1.68,BR,1689174797
343,rawlins,41.7911,-107.2387,22.94,25,0,5.14,US,1689174797
344,leua,48.2156,18.6071,33.61,47,66,5.08,SK,1689174797
345,merritt,50.1123,-120.7942,16.29,66,85,0.89,CA,1689174797
346,veshenskaya,49.6303,41.7334,19.76,50,97,5.15,RU,1689174797
347,popondetta,-8.7537,148.2534,23.56,91,95,0.92,PG,1689174797
348,neiafu,-18.65,-173.9833,24.38,100,75,0.0,TO,1689174798
349,luderitz,-26.6481,15.1594,24.08,31,0,1.41,NA,1689174798
350,pacific grove,36.6177,-121.9166,13.9,95,100,2.24,US,1689174508
351,minas de barroteran,27.6333,-101.2833,29.5,55,25,1.62,MX,1689174798
352,tralee,52.2704,-9.7026,15.14,94,100,1.54,IE,1689174591
353,kovernino,57.1253,43.8142,11.52,88,100,4.53,RU,1689174798
354,daru,-9.0763,143.2092,24.94,81,88,7.65,PG,1689174798
355,yuzhno-kurilsk,44.0306,145.8556,14.81,99,100,1.63,RU,1689174799
356,port macquarie,-31.4333,152.9167,7.72,89,8,2.32,AU,1689174799
357,hammerfest,70.6634,23.6821,25.25,29,0,4.63,NO,1689174799
358,kiruna,67.8557,20.2251,21.51,30,0,6.69,SE,1689174799
359,palmaner,13.2,78.75,27.1,58,100,2.53,IN,1689174799
360,gizo,-8.103,156.8419,26.83,80,100,9.08,SB,1689174800
361,celestun,20.8667,-90.4,30.35,61,38,3.47,MX,1689174800
362,tabou,4.423,-7.3528,26.03,83,91,4.96,CI,1689174800
363,el calafate,-50.3408,-72.2768,-6.17,83,82,0.45,AR,1689174800
364,nuriootpa,-34.4833,139.0,8.05,66,13,2.19,AU,1689174563
